127.0.0.1 - - [22/Nov/2023:14:25:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:25:25 +0900] "GET /LibraryProject/index.jsp HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:25:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:25:27 +0900] "GET /LibraryProject/index.jsp HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:25:28 +0900] "GET /LibraryProject/login/login.jsp HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:25:30 +0900] "GET /LibraryProject/member/signUp.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:25:58 +0900] "POST /LibraryProject/signUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:25:58 +0900] "GET /LibraryProject/login/loginOk.jsp HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:02 +0900] "GET /LibraryProject/book/searchBook.jsp HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:04 +0900] "GET /LibraryProject/listBook?title=all HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:08 +0900] "GET /LibraryProject/rentalBook HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:10 +0900] "GET /LibraryProject/book/searchBook.jsp HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:16 +0900] "GET /LibraryProject/index.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:18 +0900] "GET /LibraryProject/index.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:22 +0900] "GET /LibraryProject/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:22 +0900] "GET /LibraryProject/index.jsp HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:23 +0900] "GET /LibraryProject/login/login.jsp HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:27 +0900] "POST /LibraryProject/loginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:27 +0900] "GET /LibraryProject/login/loginOk.jsp HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:29 +0900] "GET /LibraryProject/quit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:26:29 +0900] "GET /LibraryProject/member/quitResult.jsp HTTP/1.1" 200 4402
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:28:29 +0900] "GET /LibraryProject/book/searchBook.jsp HTTP/1.1" 200 4602
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:29:56 +0900] "GET /LibraryProject/book/searchBook.jsp HTTP/1.1" 200 4602
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:29:59 +0900] "GET /LibraryProject/listBook?title=all HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:30:12 +0900] "GET /LibraryProject/book/searchBook.jsp HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:30:13 +0900] "GET /LibraryProject/book/listBook?title=all HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:30:26 +0900] "GET /LibraryProject/book/searchBook.jsp HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [22/Nov/2023:14:30:27 +0900] "GET /LibraryProject/book/listBook.jsp?title=all HTTP/1.1" 200 4469
0:0:0:0:0:0:0:1 - - [22/Nov/2023:16:08:44 +0900] "GET /LibraryProject/index.jsp HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [22/Nov/2023:16:08:46 +0900] "GET /LibraryProject/login/login.jsp HTTP/1.1" 200 5691
